gki,gtr,murI,mutS,recP,xpt,yqiL,ST
1,1,1,1,1,1,1,1
1,2,20,5,35,3,4,2
2,2,1,2,2,2,2,3
2,2,1,2,2,3,2,4
2,2,2,3,2,3,2,5
2,2,8,3,2,16,12,6
2,2,9,3,18,3,4,7
2,2,9,3,18,11,2,8
2,2,9,3,18,14,2,9
2,2,9,13,2,14,2,10
2,6,1,2,2,2,2,11
2,6,1,5,2,2,2,12
2,6,2,5,22,3,2,13
2,6,8,3,9,3,1,14
2,6,8,5,2,3,2,15
2,6,8,15,2,3,2,16
2,13,8,5,2,3,10,17
2,27,8,5,2,3,2,18
3,2,3,3,3,3,3,19
3,4,6,5,1,5,1,20
3,4,6,5,1,5,2,21
3,4,6,7,1,5,4,22
3,4,6,7,11,5,4,23
3,4,24,5,4,23,6,24
4,2,3,11,17,3,1,25
4,2,21,16,17,3,1,26
4,3,2,5,2,26,1,27
4,3,4,4,4,2,4,28
4,6,2,7,7,7,5,29
4,6,2,7,21,7,1,30
4,10,3,6,14,10,4,31
4,17,2,5,1,25,1,32
4,26,23,7,1,28,3,33
4,29,2,7,7,7,4,34
4,31,2,13,34,3,21,35
5,2,2,6,6,2,2,36
5,2,5,5,5,4,3,37
5,7,8,5,15,2,1,38
5,11,8,5,15,2,1,39
5,11,8,5,29,2,4,40
6,5,7,1,5,3,3,41
6,5,7,1,5,6,3,42
7,2,8,3,8,2,2,43
8,7,8,8,9,3,1,44
9,8,1,1,1,3,3,45
9,8,1,1,1,3,4,46
9,16,1,20,25,3,16,47
10,6,2,6,10,3,6,48
11,2,1,3,12,3,7,49
11,6,3,6,6,27,4,50
11,6,12,6,6,2,4,51
11,6,14,5,9,17,19,52
11,6,22,7,9,2,17,53
11,7,15,7,17,3,4,54
11,9,1,9,2,3,4,55
11,9,2,5,2,5,4,56
11,23,2,7,24,3,2,57
12,2,1,3,12,8,7,58
13,2,8,19,1,3,4,59
13,2,14,1,9,3,1,60
13,2,16,1,5,3,1,61
13,3,10,12,20,2,3,62
13,6,2,3,23,3,11,63
13,7,8,1,9,22,3,64
13,7,8,1,13,9,8,65
13,7,8,1,13,12,8,66
13,7,8,1,26,3,13,67
13,7,8,1,26,9,8,68
13,7,8,10,13,9,8,69
13,18,8,1,13,9,8,70
14,12,2,7,16,5,9,71
14,28,2,17,4,5,1,72
15,14,7,7,19,3,1,73
15,14,7,16,19,3,1,74
15,14,7,18,19,3,1,75
16,2,8,3,1,3,1,76
16,2,8,3,1,11,1,77
16,2,8,7,1,13,1,78
16,2,11,3,1,11,1,79
16,15,19,7,1,2,17,80
17,19,1,1,1,15,3,81
18,20,7,9,2,2,15,82
19,21,1,1,5,3,3,83
20,22,2,3,27,18,12,84
20,22,2,3,27,18,14,85
21,31,1,3,28,3,4,86
22,10,17,14,14,3,20,87
23,24,2,3,23,19,18,88
24,2,3,5,1,3,1,89
25,2,13,6,30,25,15,90
26,2,18,5,31,3,1,91
27,25,4,4,32,2,1,92
28,25,4,4,4,2,1,93
28,25,4,4,4,20,1,94
29,32,2,5,33,21,4,95
30,2,9,13,18,14,2,96
31,2,2,5,35,24,12,97
32,6,8,3,2,8,22,98
33,30,7,5,5,26,3,99
34,2,2,21,1,29,16,100
16,2,8,3,1,13,3,101
13,34,25,6,36,3,1,102
2,2,2,3,37,3,2,103
36,33,2,5,19,24,1,104
35,2,2,5,13,30,1,105
4,25,3,4,4,2,1,106
4,25,26,4,4,2,1,107
10,24,14,17,19,31,26,108
42,37,8,22,33,3,4,109
41,31,8,25,33,3,27,110
3,38,1,7,1,8,24,111
16,35,27,24,35,33,1,112
11,6,22,7,40,2,23,113
4,36,2,18,2,3,4,114
40,2,9,6,41,8,12,115
39,2,2,5,38,34,1,116
38,2,2,23,39,2,25,117
37,2,8,3,2,3,1,118
2,6,8,3,2,32,1,119
43,2,2,7,1,3,1,120
47,3,2,5,10,34,12,121
4,6,1,28,2,2,2,122
43,2,8,7,1,3,1,123
2,2,8,3,5,2,2,124
72,14,7,18,19,3,1,125
2,2,8,13,18,14,2,126
3,39,1,7,1,8,24,127
49,2,2,5,44,14,12,128
16,42,34,7,45,2,17,129
13,2,35,7,2,38,1,130
2,2,36,3,18,14,2,131
50,2,8,30,8,3,30,132
4,31,2,31,2,8,7,133
54,24,14,4,9,2,2,134
2,6,37,5,2,3,28,135
40,2,9,5,9,8,12,136
4,2,2,2,46,3,4,137
3,2,2,5,19,34,4,138
53,39,1,7,1,3,24,139
51,2,14,26,19,35,31,140
52,31,9,6,35,2,12,141
16,2,8,3,2,41,1,142
15,12,38,6,4,23,6,143
29,32,2,5,48,9,4,144
46,17,2,5,1,25,1,145
40,2,29,5,19,3,1,146
11,2,8,33,1,13,18,147
43,2,3,6,6,2,2,148
55,44,8,5,4,3,10,149
11,2,1,3,50,8,7,150
2,28,2,17,4,5,1,151
42,6,14,26,43,35,4,152
4,2,2,13,2,24,4,153
31,2,2,5,18,24,12,154
10,19,30,27,5,2,3,155
45,6,31,7,1,36,1,156
44,40,2,5,19,5,4,157
