adhP,pheS,atr,glnA,sdhA,glcK,tkt,ST
1,1,2,1,1,2,2,1
1,1,3,1,1,2,2,2
1,1,4,1,1,3,2,3
1,1,4,1,1,3,4,4
12,1,4,1,1,3,4,5
9,1,2,1,3,2,2,6
10,1,2,1,3,2,2,7
4,1,4,1,3,3,2,8
8,1,4,1,3,3,2,9
9,1,4,1,3,3,2,10
9,3,7,1,3,3,2,11
10,1,4,1,3,3,2,12
11,3,4,1,3,3,2,13
1,1,2,1,5,2,2,14
9,1,4,1,5,3,2,15
1,1,4,1,6,3,4,16
2,1,1,2,1,1,1,17
3,1,1,2,1,1,1,18
1,1,3,2,2,2,2,19
1,2,3,2,2,2,2,20
1,9,3,2,2,2,2,21
13,3,1,3,1,1,1,22
5,4,6,3,2,1,3,23
5,4,4,3,2,3,3,24
5,4,6,3,8,1,3,25
1,1,5,4,1,4,6,26
1,1,3,4,2,2,2,27
1,1,3,5,2,2,2,28
2,1,1,8,1,1,1,29
1,1,8,2,2,2,2,30
2,1,1,6,1,1,1,31
2,1,1,2,7,1,1,32
5,6,4,3,2,1,3,33
5,7,6,3,2,1,3,34
1,1,3,2,2,5,2,35
1,1,3,2,2,2,7,36
13,3,9,3,1,1,1,37
9,1,10,1,3,2,2,38
13,3,11,3,1,1,1,39
13,3,1,3,1,7,1,40
10,1,12,1,3,2,2,41
1,1,3,2,3,2,2,42
10,1,4,1,2,3,2,43
1,1,3,2,1,2,2,44
13,3,1,3,3,1,1,45
1,1,4,1,3,3,4,46
9,1,4,1,1,3,2,47
2,1,1,2,2,1,1,48
1,1,2,1,2,2,2,49
1,1,2,11,1,2,2,50
10,1,3,1,3,2,2,51
5,4,6,3,1,1,3,52
4,1,4,1,1,3,2,53
1,1,4,1,9,3,4,54
5,1,6,3,2,1,3,55
1,1,2,1,2,8,2,56
1,1,13,1,2,2,2,57
16,1,6,2,2,9,2,58
1,1,3,4,2,2,5,59
16,1,6,2,1,9,2,60
13,1,1,13,1,1,1,61
13,1,1,13,11,1,5,62
13,1,1,2,1,10,1,63
13,1,1,2,1,1,1,64
9,11,4,1,3,3,2,65
1,1,3,14,1,12,2,66
13,1,1,13,1,1,5,67
1,1,3,1,11,2,2,68
13,1,1,16,1,1,5,69
2,1,1,2,13,1,1,70
1,1,2,1,1,2,8,71
13,1,1,13,1,2,5,72
13,1,1,13,14,9,5,73
