abcZ,adk,aroE,fumC,gdh,pdhC,pgm,ST
1,3,1,1,1,1,3,1
1,3,4,7,1,1,3,2
1,3,1,1,1,23,13,3
1,3,3,1,4,2,3,4
1,1,2,1,3,2,3,5
1,1,2,1,3,2,11,6
1,1,2,1,3,2,19,7
2,3,7,2,8,5,2,8
2,3,8,10,8,5,2,9
2,3,4,2,8,15,2,10
2,3,4,3,8,4,6,11
4,3,2,16,8,11,20,12
4,10,15,7,8,11,1,13
4,1,15,7,8,11,1,14
13,3,16,1,3,11,9,15
15,9,9,13,8,19,15,16
8,3,13,1,11,12,4,17
7,8,10,19,10,1,2,18
7,8,10,19,8,1,2,19
6,8,10,17,10,1,2,20
1,5,1,1,2,16,17,21
11,5,18,8,11,24,21,22
10,5,18,9,11,9,17,23
2,5,2,7,15,20,5,24
6,5,2,12,6,13,14,25
6,5,2,12,12,10,14,26
3,5,6,5,7,18,2,27
13,4,6,17,5,18,2,28
2,7,6,9,16,18,8,29
6,5,6,5,1,21,8,30
14,5,6,2,3,8,18,31
4,10,5,4,6,3,8,32
8,10,5,4,6,3,8,33
8,10,5,4,5,3,8,34
4,10,11,18,6,10,12,35
12,7,4,8,5,21,16,36
12,2,15,5,13,21,10,37
12,2,15,5,13,17,10,38
5,4,17,15,14,7,16,39
3,6,9,5,9,22,9,40
3,6,9,5,9,6,9,41
10,6,9,5,9,6,9,42
12,6,9,9,9,6,9,43
9,6,9,9,9,6,9,44
3,6,9,5,9,6,15,45
3,6,9,5,3,6,9,46
9,6,9,14,9,6,2,47
9,6,14,5,9,5,9,48
2,6,12,11,3,14,7,49
2,3,19,3,8,4,6,50
2,3,4,23,8,6,6,51
7,3,4,3,8,4,6,52
16,2,6,25,17,25,22,53
8,13,20,21,3,11,20,54
4,2,2,20,18,11,9,55
4,10,2,8,8,11,20,56
1,3,1,1,1,2,3,57
1,3,21,7,1,1,3,58
1,14,1,22,1,23,13,59
17,5,19,17,3,26,2,60
17,10,19,17,3,26,2,61
18,3,22,27,19,27,23,62
18,5,22,30,19,27,24,63
19,15,23,29,20,28,25,64
10,3,24,26,5,29,26,65
2,3,7,6,8,5,2,66
2,3,4,24,8,4,6,67
1,3,4,7,21,1,17,68
1,3,4,28,1,1,3,69
1,3,4,7,22,21,3,70
1,3,10,7,1,1,3,71
1,3,7,7,1,1,3,72
1,3,4,7,1,21,3,73
4,10,5,4,5,3,2,74
2,3,25,1,1,1,3,75
2,3,1,17,1,1,3,76
2,3,1,1,1,1,3,77
2,3,25,1,1,1,17,78
12,5,6,26,9,22,8,79
1,3,15,31,4,2,3,80
1,3,15,13,9,18,17,81
2,2,12,43,3,37,7,82
2,2,31,11,13,21,16,83
2,5,9,37,8,18,21,84
2,5,9,36,9,6,18,85
2,18,6,40,26,6,1,86
2,18,15,1,24,11,10,87
2,18,27,38,24,11,21,88
2,18,27,38,24,11,10,89
2,18,27,37,24,11,10,90
3,5,4,37,8,18,21,91
3,7,4,37,8,18,21,92
3,7,4,17,8,18,29,93
3,7,4,35,8,18,2,94
3,7,31,35,8,18,2,95
4,10,2,16,8,11,20,96
4,20,30,9,8,20,12,97
4,20,31,9,8,20,12,98
6,5,7,17,21,24,17,99
6,6,9,1,26,36,32,100
6,6,9,1,26,6,32,101
7,5,10,19,29,1,2,102
8,4,6,17,5,18,2,103
8,5,6,42,5,17,2,104
8,6,6,3,26,17,2,105
8,16,4,33,10,24,27,106
9,2,9,41,27,24,20,107
9,6,4,9,6,6,7,108
9,6,4,9,28,6,9,109
9,6,9,9,9,6,17,110
9,6,29,9,9,6,17,111
9,7,9,9,9,33,8,112
11,5,18,17,5,24,9,113
11,5,18,17,11,24,21,114
12,2,4,26,13,21,16,115
12,5,15,32,21,13,8,116
12,8,15,26,10,1,16,117
12,10,5,35,6,3,8,118
12,16,4,33,10,24,27,119
12,17,6,39,9,22,8,120
12,17,26,34,23,34,28,121
16,2,6,25,8,25,22,122
16,2,6,25,17,11,22,123
16,2,6,25,13,25,22,124
20,5,7,35,6,30,12,125
20,6,28,17,21,13,30,126
21,18,6,37,5,31,17,127
21,21,2,35,8,13,13,128
22,7,4,37,8,18,21,129
23,5,9,3,13,32,8,130
24,8,6,19,25,35,2,131
24,8,10,19,25,35,33,132
25,5,4,35,21,13,8,133
25,19,18,16,8,18,31,134
26,10,4,13,9,22,34,135
27,6,9,3,9,6,16,136
41,6,9,9,9,6,9,137
12,5,18,44,8,10,12,138
2,2,31,40,13,21,16,139
21,18,6,37,5,31,35,140
12,3,18,3,11,15,9,141
9,6,9,13,9,6,9,142
25,10,4,26,9,22,8,143
7,17,32,5,10,11,2,144
7,8,10,26,10,1,16,145
8,6,9,9,9,6,9,146
12,17,33,39,9,22,2,147
12,5,15,32,21,6,8,148
8,16,4,8,10,24,27,149
9,6,9,9,9,18,32,150
2,20,35,17,9,15,21,151
12,6,4,32,9,18,16,152
2,3,7,2,34,5,2,153
3,6,9,5,11,6,9,154
